fx_risco,qtd,media_prob,media_scr,sd_limite,media_limite,mediana_limite,pd_observado,min_limite,max_limite,IC_inf,IC_sup,media_limite_isotonico
"(575.125, 577.405]",2154,0.5249423504728261,576.2621602683206,6650.39325200896,8757.486207828128,7200.0,0.33147632311977715,400.0,40000.0,8476.479436841211,9038.492978815044,8644.061361121943
"(713.91, 716.782]",2153,0.13848908608998417,715.3234233836426,4530.817364380243,8852.379283862558,8252.0,0.032512772875058056,750.0,40000.0,8660.888903372454,9043.869664352662,8852.379283862558
"(577.405, 579.595]",2153,0.5172493464827964,578.4859507621667,6700.305517206847,8877.997441747835,7200.0,0.29493729679516956,400.0,40000.0,8594.815854474698,9161.179029020972,8644.061361121943
"(722.653, 725.543]",2153,0.12458915217445704,724.1079546969809,4659.714206567672,9081.105928153127,8280.0,0.021365536460752437,1000.0,38400.0,8884.167853931536,9278.044002374718,9102.81734174315
"(716.782, 719.685]",2153,0.13374209994512629,718.2357792578188,5187.414177405401,9092.411931068335,8250.0,0.02229447282861124,820.0,40000.0,8873.171155132313,9311.652707004356,9092.411931068335
"(719.685, 722.653]",2153,0.12910096493469567,721.1691408354216,4977.478193040587,9124.528755333171,8390.0,0.02786809103576405,1000.0,37440.0,8914.160709920483,9334.896800745859,9102.81734174315
"(579.595, 581.868]",2153,0.5094867716647887,580.7274442162345,6901.2567116917635,9172.326999585614,7560.0,0.2884347422201579,600.0,40000.0,8880.652414780867,9464.00158439036,8644.061361121943
"(725.543, 728.449]",2154,0.12025053687434045,727.0212420865521,4895.632375838654,9205.472379270313,8360.0,0.01903435468895079,1000.0,38400.0,8998.611552587943,9412.333205952684,9205.472379270313
"(728.449, 731.337]",2153,0.11616148517361377,729.8514533138134,4871.739897872148,9222.130312749061,8514.0,0.02693915466790525,1000.0,38400.0,9016.231188669057,9428.029436829065,9222.130312749061
"(737.537, 740.943]",2153,0.10350793479491653,739.1978687747452,4664.573311098388,9232.835115692997,8580.0,0.016256386437529028,800.0,38400.0,9035.691676368247,9429.978555017746,9263.290551926017
"(731.337, 734.4]",2153,0.11196228932352062,732.8497535231863,4963.799379994602,9271.136232794757,8584.0,0.020436600092893636,1000.0,40000.0,9061.346308481237,9480.926157108277,9263.290551926017
"(734.4, 737.537]",2153,0.10773797156096171,735.9665846112795,4831.097031296341,9285.900307290294,8556.0,0.018578727357176035,950.0,37325.0,9081.71891256438,9490.081702016209,9263.290551926017
"(740.943, 744.724]",2153,0.0989657683040858,742.8006166562817,4645.001887830469,9441.781143356075,8832.0,0.009289363678588018,1000.0,38400.0,9245.464870298889,9638.09741641326,9441.781143356075
"(581.868, 584.235]",2153,0.5013788534717708,583.0672699476909,7096.494306478676,9442.636360084163,7838.0,0.2791453785415699,864.0,40000.0,9142.71025721876,9742.562462949567,8644.061361121943
"(630.504, 634.578]",2153,0.3363213370396552,632.5004774193799,6781.531224790083,9557.170911759793,8800.0,0.1184393869019972,734.0,38400.0,9270.556402697981,9843.785420821605,8644.061361121943
"(744.724, 749.343]",2153,0.09389291149074919,747.0047830791322,4825.864856158937,9564.332184158118,8880.0,0.014398513701811427,1000.0,40000.0,9360.371921984517,9768.29244633172,9564.332184158118
"(623.569, 626.832]",2154,0.35929019764476544,625.1929682612708,6312.394149722579,9602.774429427756,8800.0,0.127669452181987,702.0,40000.0,9336.04952610352,9869.499332751993,8644.061361121943
"(626.832, 630.504]",2153,0.3484357021261302,628.6182076901179,6357.578100479511,9621.671902781067,8800.0,0.12772875058058522,920.0,38400.0,9352.975340649191,9890.368464912943,8644.061361121943
"(584.235, 586.573]",2153,0.4933823949050945,585.3747236384318,7401.221007544978,9726.58453033961,7722.0,0.2666047375754761,400.0,40000.0,9413.779463870107,10039.389596809115,8644.061361121943
"(749.343, 754.238]",2153,0.08841147359938753,751.7802521907237,4972.288089915642,9817.559431776595,9000.0,0.012076172782164421,1000.0,38400.0,9607.410740785472,10027.708122767719,9817.559431776595
"(754.238, 759.555]",2153,0.08287383615843477,756.8860097325407,4847.602707439445,10017.028259971543,9100.0,0.005109150023223409,1000.0,40000.0,9812.149269657304,10221.907250285782,10017.028259971543
"(617.624, 620.567]",2153,0.37891082022717426,619.113439982643,6714.129733341456,10049.878699750596,8887.0,0.13841151881096145,400.0,40000.0,9766.112846064867,10333.644553436325,8644.061361121943
"(620.567, 623.569]",2153,0.3692209040832455,622.0989913120997,6607.537910455324,10052.758714071764,8888.0,0.13608917789131444,400.0,48000.0,9773.497855198244,10332.019572945284,8644.061361121943
"(586.573, 588.77]",2153,0.4855346486846366,587.6401983594266,8021.476464875554,10093.37602706703,7968.0,0.24198792382721784,200.0,100000.0,9754.35649553013,10432.39555860393,8644.061361121943
"(614.774, 617.624]",2153,0.38849093185474515,616.1908349939921,6879.934378860739,10290.834274671484,8915.0,0.1648862052949373,500.0,40000.0,10000.060856543383,10581.607692799585,8644.061361121943
"(759.555, 766.816]",2153,0.076841535756823,762.8214516240853,4918.907190491606,10303.316527533574,9522.0,0.0037157454714352067,940.0,35827.0,10095.423925878995,10511.209129188153,10303.316527533574
"(600.0, 602.452]",2153,0.43877342630905575,601.2209164870204,7479.363157013449,10331.550856414242,8712.0,0.19925685090571296,500.0,40000.0,10015.44319159865,10647.658521229834,8644.061361121943
"(602.452, 604.823]",2153,0.4304877231200447,603.6533383090923,7294.617783876074,10388.746199506511,8800.0,0.19228982814677195,400.0,40000.0,10080.446609691686,10697.045789321337,8644.061361121943
"(607.158, 609.622]",2153,0.4144131077082638,608.4064177443154,7331.0785865784455,10420.884457338978,8887.0,0.17138875986994892,500.0,40000.0,10111.043888839526,10730.72502583843,8644.061361121943
"(604.823, 607.158]",2153,0.42259930565877646,605.9797412779512,7006.870648399809,10424.90407264451,8832.0,0.18485833720390155,920.0,40000.0,10128.765822390726,10721.042322898293,8644.061361121943
"(766.816, inf]",2154,0.06516889066115064,775.968548270286,5134.498334839546,10472.603873371268,9632.0,0.002321262766945218,1000.0,40000.0,10255.649966581605,10689.557780160932,10472.603873371268
"(612.087, 614.774]",2153,0.3976335327820597,613.4260757344741,7061.21439778938,10534.666179676207,9000.0,0.15234556432884347,400.0,40000.0,10236.231146212913,10833.101213139502,8644.061361121943
"(609.622, 612.087]",2153,0.40625267938834236,610.8393694593374,7381.1176197613,10692.247362564649,9000.0,0.15606130980027869,500.0,46080.0,10380.291945301069,11004.202779828229,8644.061361121943
"(588.77, 591.025]",2153,0.47768070881548624,589.9095339838484,8249.30407627274,10909.791729324972,8800.0,0.25545750116117044,500.0,40000.0,10561.14329587391,11258.440162776034,8644.061361121943
"(595.429, 597.672]",2153,0.45475279326311463,596.5567968560567,8606.031216357364,10922.425603495489,8800.0,0.19832791453785414,400.0,40000.0,10558.700460856593,11286.150746134384,8644.061361121943
"(597.672, 600.0]",2154,0.44691042707982226,598.8418352355673,8195.365318323158,11017.107424505259,8800.0,0.19312906220984216,920.0,40000.0,10670.819158850521,11363.395690159996,8644.061361121943
"(593.226, 595.429]",2153,0.46234757504581103,594.350147735464,8492.999091905602,11277.236933086446,8832.0,0.22480260102183,400.0,40000.0,10918.288978044877,11636.184888128015,8644.061361121943
"(591.025, 593.226]",2153,0.4700300664825267,592.1231773121856,8659.280370121438,11281.943437420729,8998.0,0.229447282861124,500.0,40000.0,10915.9677735414,11647.919101300056,8644.061361121943
